"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 18, 2021","1,776.08","1,823.72","1,849.23","1,760.83","1.53M","-2.59%"
"Mar 17, 2021","1,823.35","1,804.56","1,837.88","1,743.62","1.50M","1.03%"
"Mar 16, 2021","1,804.85","1,792.08","1,817.35","1,715.97","1.81M","0.70%"
"Mar 15, 2021","1,792.38","1,848.18","1,890.59","1,745.04","1.70M","-3.07%"
"Mar 14, 2021","1,849.06","1,921.29","1,932.36","1,836.78","671.56K","-3.75%"
"Mar 13, 2021","1,921.13","1,767.05","1,943.36","1,730.46","1.79M","8.73%"
"Mar 12, 2021","1,766.90","1,827.44","1,841.19","1,723.18","1.52M","-3.23%"
"Mar 11, 2021","1,825.79","1,794.28","1,845.32","1,729.05","1.58M","1.76%"
"Mar 10, 2021","1,794.14","1,869.32","1,875.98","1,759.50","1.66M","-4.01%"
"Mar 09, 2021","1,869.10","1,831.57","1,869.10","1,801.29","1.58M","2.05%"
"Mar 08, 2021","1,831.49","1,727.17","1,841.05","1,665.54","1.97M","5.98%"
"Mar 07, 2021","1,728.10","1,650.94","1,732.84","1,634.73","1.69M","4.78%"
"Mar 06, 2021","1,649.19","1,530.24","1,670.01","1,514.62","2.07M","7.77%"
"Mar 05, 2021","1,530.29","1,539.73","1,548.71","1,443.32","1.67M","-0.54%"
"Mar 04, 2021","1,538.61","1,567.84","1,623.73","1,506.86","1.70M","-2.06%"
"Mar 03, 2021","1,571.05","1,488.80","1,653.04","1,477.72","1.17M","5.54%"
"Mar 02, 2021","1,488.62","1,570.00","1,602.13","1,457.22","1.74M","-5.18%"
"Mar 01, 2021","1,570.03","1,418.91","1,571.15","1,411.55","1.92M","10.66%"
"Feb 28, 2021","1,418.76","1,458.84","1,467.76","1,294.79","2.07M","-2.75%"
"Feb 27, 2021","1,458.93","1,445.69","1,527.69","1,427.15","1.56M","0.93%"
"Feb 26, 2021","1,445.44","1,476.77","1,561.66","1,403.30","2.13M","-2.08%"
"Feb 25, 2021","1,476.15","1,623.76","1,669.24","1,460.92","1.75M","-9.09%"
"Feb 24, 2021","1,623.71","1,578.27","1,711.16","1,505.79","2.19M","2.89%"
"Feb 23, 2021","1,578.11","1,777.25","1,781.44","1,370.45","3.60M","-11.21%"
"Feb 22, 2021","1,777.28","1,933.52","1,935.04","1,561.68","2.68M","-8.08%"
"Feb 21, 2021","1,933.45","1,912.97","1,974.99","1,885.70","1.47M","1.02%"
"Feb 20, 2021","1,913.88","1,955.54","2,040.79","1,800.00","2.29M","-2.13%"
"Feb 19, 2021","1,955.59","1,934.17","1,968.93","1,892.70","1.78M","1.11%"
"Feb 18, 2021","1,934.16","1,849.95","1,950.04","1,849.05","881.87K","4.66%"
"Feb 17, 2021","1,847.95","1,781.44","1,854.03","1,734.15","1.69M","3.72%"
"Feb 16, 2021","1,781.69","1,778.63","1,827.07","1,726.78","1.48M","0.16%"
"Feb 15, 2021","1,778.82","1,800.60","1,835.51","1,661.09","1.94M","-1.27%"
"Feb 14, 2021","1,801.78","1,815.44","1,850.00","1,787.11","1.43M","-0.76%"
"Feb 13, 2021","1,815.49","1,840.90","1,871.36","1,766.05","1.44M","-1.39%"
"Feb 12, 2021","1,841.02","1,786.74","1,862.17","1,741.04","1.75M","3.06%"
"Feb 11, 2021","1,786.35","1,742.11","1,817.68","1,704.97","1.56M","2.54%"
"Feb 10, 2021","1,742.09","1,770.81","1,835.40","1,683.52","2.01M","-1.61%"
"Feb 09, 2021","1,770.63","1,750.19","1,818.94","1,711.40","1.94M","1.17%"
"Feb 08, 2021","1,750.18","1,612.98","1,775.12","1,566.43","2.17M","8.50%"
"Feb 07, 2021","1,612.99","1,676.62","1,692.29","1,491.68","1.94M","-3.80%"
"Feb 06, 2021","1,676.63","1,719.11","1,742.90","1,648.03","1.78M","-2.48%"
"Feb 05, 2021","1,719.20","1,593.91","1,760.09","1,589.28","1.80M","7.85%"
"Feb 04, 2021","1,594.00","1,664.19","1,693.64","1,570.45","2.34M","-4.23%"
"Feb 03, 2021","1,664.34","1,511.96","1,667.93","1,510.27","2.27M","10.12%"
"Feb 02, 2021","1,511.36","1,373.31","1,546.88","1,361.63","2.73M","10.04%"
"Feb 01, 2021","1,373.40","1,312.69","1,376.44","1,272.09","1.65M","4.62%"
"Jan 31, 2021","1,312.73","1,377.05","1,380.04","1,282.41","1.54M","-4.67%"
"Jan 30, 2021","1,376.96","1,379.78","1,405.78","1,327.66","1.59M","-0.17%"
"Jan 29, 2021","1,379.30","1,329.16","1,436.27","1,288.26","3.33M","3.83%"
"Jan 28, 2021","1,328.47","1,247.67","1,359.51","1,221.15","814.31K","6.48%"
"Jan 27, 2021","1,247.62","1,366.14","1,372.31","1,210.40","2.90M","-8.68%"
"Jan 26, 2021","1,366.27","1,317.67","1,377.94","1,246.45","2.56M","3.67%"
"Jan 25, 2021","1,317.90","1,390.69","1,474.68","1,298.13","2.77M","-5.21%"
"Jan 24, 2021","1,390.28","1,233.41","1,398.00","1,222.14","2.30M","12.72%"
"Jan 23, 2021","1,233.40","1,234.34","1,271.65","1,196.94","1.46M","-0.10%"
"Jan 22, 2021","1,234.58","1,118.01","1,272.85","1,045.02","2.94M","10.49%"
"Jan 21, 2021","1,117.33","1,377.63","1,387.39","1,095.26","2.76M","-18.89%"
"Jan 20, 2021","1,377.53","1,372.00","1,406.56","1,237.27","3.05M","0.40%"
"Jan 19, 2021","1,372.00","1,258.10","1,437.42","1,252.36","2.27M","9.06%"
"Jan 18, 2021","1,258.06","1,233.93","1,260.30","1,184.15","1.73M","2.06%"
"Jan 17, 2021","1,232.64","1,228.33","1,269.01","1,168.39","2.15M","0.36%"
"Jan 16, 2021","1,228.27","1,172.12","1,290.92","1,154.04","2.29M","4.83%"
"Jan 15, 2021","1,171.68","1,233.34","1,256.13","1,079.19","2.85M","-4.44%"
"Jan 14, 2021","1,226.17","1,128.80","1,246.52","1,088.52","1.55M","8.66%"
"Jan 13, 2021","1,128.46","1,050.20","1,134.66","990.96","2.25M","7.45%"
"Jan 12, 2021","1,050.19","1,086.96","1,149.19","1,008.28","3.09M","-3.78%"
"Jan 11, 2021","1,091.47","1,255.84","1,257.30","917.96","4.19M","-13.10%"
"Jan 10, 2021","1,256.04","1,275.87","1,347.98","1,180.45","2.65M","-1.53%"
"Jan 09, 2021","1,275.58","1,215.92","1,301.75","1,172.39","1.99M","4.92%"
"Jan 08, 2021","1,215.73","1,224.33","1,271.08","1,069.25","2.71M","-0.70%"
"Jan 07, 2021","1,224.35","1,208.71","1,286.81","1,153.09","2.71M","1.37%"
"Jan 06, 2021","1,207.77","1,099.77","1,210.78","1,060.67","3.75M","9.85%"
"Jan 05, 2021","1,099.52","1,042.48","1,131.56","976.91","3.25M","5.48%"
"Jan 04, 2021","1,042.40","977.76","1,158.27","894.24","5.19M","6.92%"
"Jan 03, 2021","974.97","774.54","1,008.49","769.57","4.02M","25.88%"
"Jan 02, 2021","774.50","729.00","787.26","715.15","2.25M","6.22%"
"Jan 01, 2021","729.12","735.87","748.96","715.74","1.64M","-0.93%"
